age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,income
Middleaged, Stategov, Bachelors,13, Nevermarried, Admclerical, Notinfamily, White, Male,Low,None,Fulltime, UnitedStates,0
Senior, Selfempnotinc, Bachelors,13, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Divorced, Handlerscleaners, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, 11th,7, Marriedcivspouse, Handlerscleaners, Husband, Black, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Profspecialty, Wife, Black, Female,None,None,Fulltime, Cuba,0
Middleaged, Private, Masters,14, Marriedcivspouse, Execmanagerial, Wife, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, 9th,5, Marriedspouseabsent, Otherservice, Notinfamily, Black, Female,None,None,Part-time, Jamaica,0
Senior, Selfempnotinc, HSgrad,9, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Overtime, UnitedStates,1
Middleaged, Private, Masters,14, Nevermarried, Profspecialty, Notinfamily, White, Female,High,None,Overtime, UnitedStates,1
Middleaged, Private, Bachelors,13, Marriedcivspouse, Execmanagerial, Husband, White, Male,Low,None,Fulltime, UnitedStates,1
Middleaged, Private, Somecollege,10, Marriedcivspouse, Execmanagerial, Husband, Black, Male,None,None,Workaholic, UnitedStates,1
Middleaged, Stategov, Bachelors,13, Marriedcivspouse, Profspecialty, Husband, AsianPacIslander, Male,None,None,Fulltime, India,1
Young, Private, Bachelors,13, Nevermarried, Admclerical, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Assocacdm,12, Nevermarried, Sales, Notinfamily, Black, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, Assocvoc,11, Marriedcivspouse, Craftrepair, Husband, AsianPacIslander, Male,None,None,Fulltime,null,1
Middleaged, Private, 7th8th,4, Marriedcivspouse, Transportmoving, Husband, AmerIndianEskimo, Male,None,None,Overtime, Mexico,0
Young, Selfempnotinc, HSgrad,9, Nevermarried, Farmingfishing, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Machineopinspct, Unmarried, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, 11th,7, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Selfempnotinc, Masters,14, Divorced, Execmanagerial, Unmarried, White, Female,None,None,Overtime, UnitedStates,1
Middleaged, Private, Doctorate,16, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Overtime, UnitedStates,1
Senior, Private, HSgrad,9, Separated, Otherservice, Unmarried, Black, Female,None,None,Part-time, UnitedStates,0
Middleaged, Federalgov, 9th,5, Marriedcivspouse, Farmingfishing, Husband, Black, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, 11th,7, Marriedcivspouse, Transportmoving, Husband, White, Male,None,High,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Divorced, Techsupport, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Localgov, Bachelors,13, Marriedcivspouse, Techsupport, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Young, Private, HSgrad,9, Nevermarried, Craftrepair, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Senior,null, Somecollege,10, Marriedcivspouse,null, Husband, AsianPacIslander, Male,None,None,Overtime, South,1
